Tên Sản Phẩm,Thông tin,Giá Bán,Giá Gốc,GPU,RAM,Loại RAM,Số khe RAM,Bộ Nhớ,Kích Thước,Màn Hình,Dung Lượng Pin,Hệ Điều Hành,Độ Phân Giải,CPU,Cổng Giao Tiếp,Chip AI,Độ Dày,Trọng Lượng,Hãng Sản Xuất
Laptop ASUS TUF Gaming A17 FA706NFR-HX025W,R7-7435HS/16GB/512GB PCIE/VGA 4GB RTX2050/17.3 FHD 144HZ/WIN11/ĐEN,18390000.0,20990000.0,NVIDIA GeForce RTX 2050 4GB GDDR6 AMD Radeon Graphics ,16GB,DDR5-4800 SO-DIMM,"2 khe SO-DIMM (1x 16GB, nâng cấp tối đa 32GB)","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 1TB)",17.3 inches,"Độ sáng 250nitsĐộ phủ màu NTSC 45%, SRGB 62.5%, Adobe 47.34%Màn hình chống chóiAdaptive-Sync","48WHrs, 3S1P, 3-cell Li-ionSạc lại từ 0-50% trong 30 phút",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",1x RJ45 LAN 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort (10Gbps) 3x USB 3.2 Gen 1 Type-A (5Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm,,24.5,2.3,ASUS
Laptop ASUS ExpertBook B1402CVA-NK0157W,I7-1355U/8GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,15490000.0,18490000.0,Intel UHD Graphics,8GB,DDR4 Onboard + 1 khe DDR4 (nâng cấp tối đa 40GB),,512GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,LED Backlit Độ sáng 250nits Độ phủ màu NTSC: 45% Góc nhìn (H/V) 90/65 Thời gian phản hồi (Typ/Max) (ms) 10/20 Độ tương phản 500:1 Màn hình 16:9Màn hình chống chói,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-1355U (1.7 GHz, 12M Cache, up to 5.0 GHz, 10 lõi)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C  1x USB 3.2 Gen 2 Type-C  1x HDMI 1x Jack cắm âm thanh 1x RJ45 Gigabit Ethernet,,18.0,1.5,ASUS
Laptop Lenovo IdeaPad Flex 5 14ABR8 82XX00DLVN,R7-7730U/16GB/512 PCIE/14.0 WUXGA/CẢM ỨNG/BÚT/WIN11/XÁM,17990000.0,18990000.0,AMD Radeon Graphics,16GB,LPDDR5x-8448,Không nâng cấp,"Ổ cứng SSD 512GB M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD, Một khe cắm M.2 2242 PCIe 3.0 x4)",14 inches,Độ sáng 300nits Độ phủ màu 45% NTSC  TÜV Low Blue Light,52.5Wh,"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen 7 7730U (8 lõi / 16 luồng, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)","2x USB-A (USB 5Gbps) 1x USB-C (USB 10Gbps), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,19.5,1.6,Lenovo
Laptop ASUS Vivobook S14 OLED S5406SA-PP059WS,U7-258V/32GB/1TB PCIE/14.0 3K OLED 120HZ/WIN11 + OFFICE/XANH,31890000.0,35990000.0,Intel Arc Graphics,32GB,LPDDR5X 32GB,,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,Giảm 70% ánh sáng xanh có hại1.07 tỷ màuDisplay HDR True Black 600Gamut mappingĐộ phủ màu 100% DCI-P3Độ sáng tối đa 600nits HDR,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 7 258V 32GB 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 8 luồng",2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x Thunderbolt 4 hỗ trợ hiển thị/cung cấp điện (tốc độ dữ liệu lên đến 40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm Đầu đọc thẻ Micro SD,Intel AI Boost NPU up to 47,14.9,1.6,ASUS
Laptop ASUS Zenbook 14 UX3405CA-PZ368WS,U7-255H/16GB/512GB PCIE/14.0 3K OLED 120HZ/WIN11 + OFFICE/XANH,31490000.0,34990000.0,Intel Arc Graphics,16GB,LPDDR5X on board,,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms Độ sáng 400nitsĐộ sáng tối đa 500nits HDRĐộ phủ màu 100% DCI-P3 Gamut mappingHDR True Black 5001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certifiedMàn hình chăm sóc mắt SGS,"75WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 7 255H 2.0 GHz (24MB Cache, up to 5.1 GHz, 16 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x Thunderbolt 4 hỗ trợ hiển thị/cung cấp điện (tốc độ dữ liệu lên đến 40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm,Intel AI Boost NPU up to 13,13.9,1.4,ASUS
Laptop ASUS TUF Gaming A15 FA507NU-LP140W,R5-7535HS/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD/WIN11/XÁM,22490000.0,25990000.0,NVIDIA GeForce RTX 4050 6GB GDDR6  AMD Radeon Navi2 Graphics,16GB,DDR5-4800 SO-DIMM,"2 khe (Máy nguyên bản 8GB, được tặng 8GB, tối đa 32GB)",512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,"Độ sáng 250nits  Độ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35%  Màn hình chống chói  G-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7535HS (6 lõi / 12 luồng, 16MB L3 cache, up to 4.5 GHz max boost)",1x RJ45 LAN  1x Type C USB 4 hỗ trợ DisplayPort 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)  2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 FRL 1x 3.5mm Combo Audio Jack,,24.5,2.3,ASUS
Laptop ASUS Vivobook S 16 OLED M5606KA-RI016WS,RYZEN AI 7 350/24GB/512GB PCIE/16.0 3K OLED 120HZ/WIN11 + OFFICE/ĐEN,29490000.0,30990000.0,AMD Radeon Graphics,24GB,LPDDR5X,Onboard,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 400nitsĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3Gamut mappingDisplay HDR True Black 5001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certified,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-C hỗ trợ hiển thị/sạc (5Gbps) 1x USB 4.0 Gen 3 Type-C hỗ trợ hiển thị/sạc (40Gbps)  2x USB 3.2 Gen 1 Type-A (5Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm  Đầu đọc thẻ Micro SD,AMD XDNA NPU up to 50TOPS,14.9,1.6,ASUS
MacBook Pro 14 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,,70990000.0,79990000.0,30 nhânNeural Engine 16 nhân,36GB,,,1TB,14.2 inches,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hìnhĐộ sáng đỉnh 1600 nit (chỉ nội dung HDR)True ToneProMotion ,72.4Wh,,3024 x 1964 pixels ,Apple M3 Max 14 nhân,Ba cổng Thunderbolt 4 (USB-C)Cổng HDMI Khe thẻ nhớ SDXCJack 3.5mm,,15.5,1.56,Apple
Laptop ASUS ExpertBook P5 P5405CSA-NZ0016W,U5-226V/16GB/512GB PCIE/14.0 WQXGA 144HZ/WIN11/XÁM/TÚI/CHUỘT,23690000.0,27990000.0,Intel Arc 130V GPU,16GB,LPDDR5X Onboard,,512GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 400nitsMàn hình chống chóiĐộ phủ màu sRGB: 100%Góc nhìn 178/178,"63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core Ultra 5 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 lõi, 8 luồng)","2x USB 3.2 Gen 2 Type-A 2x Thunderbolt 4, tương thích với USB4, hỗ trợ display / sạc 1x HDMI 2.1 1x 3.5mm Combo Audio Jack",Intel AI Boost NPU up to 40 TOPS,18.0,1.5,ASUS
Laptop ASUS Vivobook S 16 S5606CA-RI115WS,U7-255H/32GB/1TB PCIE/16.0 3K OLED 120HZ/WIN11 + OFFICE/XANH,32290000.0,35990000.0,Intel Arc Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 400nitsĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3 Gamut mappingDisplay HDR True Black 6001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certified,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 7 255H 2.0 GHz (24MB Cache, up to 5.1 GHz, 16 lõi, 16 luồng)",2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x Thunderbolt 4 hỗ trợ hiển thị/cung cấp điện (tốc độ dữ liệu lên đến 40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm Đầu đọc thẻ Micro SD,Intel AI Boost NPU up to 13,14.9,1.6,ASUS
Laptop MSI Gaming Katana AI B8VE-402VN,R7-8845HS/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,24990000.0,28990000.0,NVIDIA GeForce RTX 4050 Laptop GPU 6GB GDDR6,16GB,DDR5-5600,2 khe (Nâng cấp tối đa 64GB),512GB SSD 2x M.2 (NVMe PCIe Gen4),15.6 inches,,3-Cell 53.5 Battery (Whr),Windows 11 Home,1920 x 1080 pixels (FullHD),AMD Ryzen R7-8845HS có kiến ​​trúc AMD XDNA,1x Mic-in/Headphone-out Combo Jack 1x Type-C (USB3.2 Gen1 / DP) 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz) 1x RJ45,,25.0,2.3,MSI
Laptop ASUS ROG Strix G16 G614JU-N3480W,I5-13450HX/16GB + 16GB/512GB PCIE/VGA 6GB RTX4050/16.0 WUXGA 165HZ/WIN11/XÁM/BALO/CHUỘT,31290000.0,37990000.0,,,,,,,,,,,,,,24.0,2.3,ASUS
Laptop MSI Gaming Thin 15 B13UC-2081VN,I5-13420H/16GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM/BALO,17990000.0,21990000.0,NVIDIA GeForce RTX 3050 4GB GDDR6 128-bit,16GB,DDR4-320,"2 khe (2x 8GB, nâng cấp tối đa 64GB)","512GB PCIE (1x M.2 SSD slot (NVMe PCIe Gen4), 1x 2.5"" SATA HDD)",15.6 inches,,3-Cell 52.4 Battery (Whr),Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i5-13420H,"1x Mic-in, 1x Headphone-out 1x Type-C (USB3.2 Gen1 / DP) 3x Type-A USB3.2 Gen1 1x HDMI (4K @ 30Hz) 1x RJ45",,25.0,2.3,MSI
Laptop Dell Inspiron 15 3530 71053721,I7-1355U/16GB/512GB PCIE/15.6 FHD 120HZ/WIN11 + OFFICE/BẠC,20990000.0,21990000.0,Intel Iris Xe Graphics,16GB,DDR4 2666MHz,"2 khe (2x 8GB, tối đa 16GB)",512GB PCIE,15.6 inches,,Pin liền,Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic 1 year subscription 634-CHLVMcAfee LiveSafe 1-year (5-device),1920 x 1080 pixels (FullHD),Intel Core i7-1355U,1x 3.5 kết hợp 1x cổng USB 3.2 Gen 1 1x cổng USB 2.0 1x cổng USB 3.2 Gen 1 Type-C 1x cổng USB 3.2 Gen 1 Type-C với DisplayPort Alt Mode 1.4,,18.0,1.8,Dell
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K0000AVN,I5-13420H/24GB/512GB PCIE/14.0 WUXGA/WIN11/XÁM,16790000.0,17490000.0,Intel UHD Graphics,24GB,DDR5-4800,"2 khe (1 x 8GB Onboard + 1 x 16GB SO-DIMM, tối đa 24GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,60Wh (Đầu tròn 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB-A (5Gbps / USB 3.2 Gen 1) 1x USB-C (5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,19.5,1.5,Lenovo
Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH,I7-1355U/16GB/512GB/14.0 FHD+/CẢM ỨNG/BÚT/WIN11/XÁM,16990000.0,19990000.0,Intel Iris Xe Graphics,16GB,LPDDR5 5200Mhz,"1 khe Onboard, Không nâng cấp",512GB PCIe NVMe SSD,14 inches,Màn hình LCD TFT có đèn nền LED Acer ComfyView hỗ trợ giải pháp cảm ứng đa điểm và bút AES Độ sáng 250nits Độ phủ màu 45% NTSC,50Wh Li-ion battery,Win 11 Home,1920 x 1200 pixels (FullHD+),"Intel Core i7-1355U (3.7 Ghz, up to 5.0 GHz, 24MB cache)",1x USB Type-C2x USB-A1x HDMI 2.11x 3.5 mm headphone/speaker jack1x DC-in jack for AC adapter,,18.8,1.8,Acer
Laptop MSI Katana 15 B13VEK-2256VN V2,I7-13620H/32GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,25990000.0,29990000.0,Intel UHD Graphics + NVIDIA GeForce RTX 4050 6GB GDDR6,32GB,DDR5 5200MHz,"2 khe (2x 16GB, Hỗ trợ nâng cấp tối đa 64GB)",1x 512GB M.2-2280 SSD slot (NVMe PCIe Gen4x4) (Hỗ trợ nâng cấp: 1x M.2 SSD slot (NVMe PCIe Gen4)),15.6 inches,Độ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 53.5WHr",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i7-13620H,1x Type-C (USB3.2 Gen1 / DisplayPort) 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x HDMI (4K @ 30Hz) 1x RJ45 1x Mic-in/Headphone-out Combo Jack,,24.9,2.3,MSI
Laptop Dell Inspiron 15 3520 71045026,I5-1235U/16GB/512GB PCIE/15.6 FHD/WIN11 + OFFICE/ĐEN,15990000.0,16990000.0,Intel Iris Xe Graphics,16GB,DDR4 2666MHz,2 khe (2x 8GB),512GB M.2 PCIe NVMe,15.6 inches,,3 cell,Windows 11 Home + Office Home & Student 2021,1920 x 1080 pixels (FullHD),Intel Core i5-1235U,2 x USB 3.2  1 x USB 3.2 Type C  1 x Audio Jack   1 x HDMI 1.4   1 x DC-in,,18.0,1.8,Dell
Mac mini M4 2024 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,,29590000.0,29990000.0,GPU 10 lõi,24GB,,,1TB ,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3 Jack cắm tai nghe 3,5 mmMặt sau:  Cổng Gigabit Ethernet  Cổng HDMIThunderbolt 4USB 4DisplayPort",,36.0,1.18,Apple
Laptop Dell XPS 13 9350 71058714,U5-226V/16GB/1TB PCIE/13.4 QHD+/CẢM ỨNG/WIN11 + OFFICE/ĐEN,54990000.0,60990000.0,Intel Arc graphics,16GB,"LPDDR5X, 8533MT/s",,Ổ đĩa thể rắn M.2 PCIe NVMe 1TB,13.4 inches,Chống phản chiếu Độ sáng 500 nit EyeSafe InfinityEdge,"Pin liền, 3-cell, 55 Wh ""smart"" lithium-ion",Windows 11 Home + OfficeHome24 + O365,2560 x 1600 pixels (2K),"Intel Core Ultra 5 226V (2.1 GHz - 4.5 GHz, 8 lõi / 8 luồng, 8 MB Intel Smart Cache)",2 x Thunderbolt 4 có Power Delivery (Type-C),,17.2,1.2,Dell
Laptop ASUS Zenbook S 16 UM5606KA-RK127WS,RYZEN AI 7 350/24GB/1TB PCIE/16.0 3K OLED 120HZ/WIN11 + OFFICE/TRẮNG/TÚI,40490000.0,42990000.0,AMD Radeon Graphics,24GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,Thời gian phản hồi 0.2ms Độ sáng 400nits Độ sáng tối đa 500nits HDR Độ phủ màu 100% DCI-P3  HDR True Black 500 1.07 tỷ màu Giảm 70% ánh sáng xanh có hại TÜV Rheinland-certified SGS Eye Care Display,"78WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",1x USB 3.2 Gen 2 Type-A (10Gbps) 2x USB 4.0 Gen 3 Type-C hỗ trợ hiển thị/cung cấp điện (40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm Đầu đọc thẻ SD 4.0,AMD XDNA NPU up to 50TOPS,13.9,1.4,ASUS
Laptop Lenovo Yoga Slim 7 14ILL10 83JX0037VN,U7-258V/32GB/1TB PCIE/14.0 2.8K OLED/WIN11 + OFFICE/XÁM,36990000.0,37990000.0,Intel Arc Graphics 140V,32GB,LPDDR5x-8533,Onboard,"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)",14 inches,Độ sáng 1100nits (peak) / 500nits (typical) Glossy Độ phủ màu 100% DCI-P3 Eyesafe Dolby Vision DisplayHDR True Black 1000 X-Rite PureSight Pro,"70Wh (65W USB-C Slim (2-pin, Wall-mount))","Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024 + Lenovo AI Now",2880 x 1800 pixels,"Intel Core Ultra 7 258V, 8 lõi (4P + 4LPE) / 8 luồng, Max Turbo up to 4.8GHz, 12MB","1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Luôn bật 2x USB-C (Thunderbolt 4 / USB4 40Gbps), với USB PD 3.0 và DisplayPort 2.1 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ nhớ microSD","Intel AI Boost, up to 47 TOPS",14.9,1.4,Lenovo
Laptop MSI Katana 15 B13UDXK-2269VN V2,I7-13620H/16GB/1TB PCIE/VGA 6GB RTX3050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,22990000.0,25990000.0,NVIDIA GeForce RTX 3050 6GBIntel UHD Graphics,16GB,DDR5-5200,"2 khe (2x 8GB, nâng cấp tối đa 64GB)",1TB SSD,15.6 inches,Màn hình chống chói,3-Cell,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-13620H (2.4GHz,10 lõi (6 P-cores + 4 E-cores), Max Turbo Frequency 4.9 GHz)",2 x Type-A USB3.2 Gen1 1 x Type-A USB2.0 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),,24.9,2.3,MSI
Laptop ASUS Vivobook 16 M1607KA-MB091WS,RYZEN AI 7 350/16GB/512GB PCIE/16.0 WUXGA/WIN11 + OFFICE/BẠC,19990000.0,22990000.0,AMD Radeon Graphics,16GB,DDR5 Onboard,,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCMàn hình chống chói,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,1920 x 1200 pixels (WUXGA),"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x USB 3.2 Gen 1 Type-C hỗ trợ hiển thị / Sạc (tốc độ dữ liệu lên đến 5Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm,AMD XDNA NPU up to 50TOPS,17.7,1.7,ASUS
Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA006TVN,U5-125H/16GB/1TB PCIE/14.0 WUXGA OLED/WIN11/XÁM,22090000.0,23690000.0,Intel Arc Graphics,16GB,LPDDR5x-7467 Onboard,,"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)",14 inches,Độ sáng 400nits Glossy Độ phủ màu 100% DCI-P3 DisplayHDR True Black 500,57Wh,"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core Ultra 5 125H, 14C (4P + 8E + 2LPE) / 18T, Max Turbo up to 4.5GHz, 18MB","1x USB-A Gen 1  1x USB-A Gen 1, Always On 2x USB-C Gen 1, với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Đầu đọc thẻ nhớ microSD","Intel AI Boost, up to 11 TOPS",19.5,1.5,Lenovo
Laptop MSI Modern 14 C12M-241VN,I7-1255U/8GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,12990000.0,19990000.0,Intel Iris Xe Graphics,8GB,8GB Onboard DDR4 3200MHz,,512GB SSD M.2 PCIe NVMe Gen3 x4,14 inches,Tấm nền IPS  Độ phân giải Full HD,39 Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-1255U, 10 lõi/12 luồng up to 4.7GHz",1x USB 3.2 Gen2 Type-A2x USB 2.01x USB Type-C (tích hợp Display Port)1x HDMI (4K 60Hz)1x Đầu đọc thẻ MicroSD1x Mic-in/ Headphone-out combo jack,,18.0,1.7,MSI
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006UVN,U7-155H/16GB/512GB PCIE/14.0 WUXGA OLED/WIN11/XÁM,24490000.0,26590000.0,Intel Arc Graphics,16GB,LPDDR5x-7467 Onboard,,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)",14 inches,Độ sáng 400nits Độ phủ màu 100% DCI-P3  Display HDR True Black 500,57Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core Ultra 7 155H, 16C (6P + 8E + 2LPE) / 22T, Max Turbo up to 4.8GHz, 24MB","1x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1) 2x USB-C (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort 1.4 1x HDMI 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Đầu đọc thẻ microSD","Intel AI Boost, up to 11 TOPS",19.5,1.5,Lenovo
MacBook Air M3 13 inch 2024 8CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,,28990000.0,32990000.0,GPU 10 Lõi,16GB,,,512GB SSD,13.6 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,11.3,1.24,Apple
Laptop HP Pavilion 15-EG2083TU 7C0W9PA,I5-1240P/8GB/512GB PCIE/15.6 FHD/WIN11/BẠC,14990000.0,19790000.0,Intel Iris Xe Graphics,8GB,DDR4 3200MHz ,2 khe (4GB + 4GB),512GB SSD M.2 NVMe,15.6 inches,"15.6"" ( 1920 x 1080 ) Full HD, IPS",3 cell 41 Wh,Windows 11 Home SL,1920 x 1080 pixels (FullHD),Intel Core i5-1240P thế hệ thứ 12,"1 x HDMI1 x USB Type C / DisplayPort / Power Delivery2 x USB 3.2,  Audio combo",,17.9,1.75,HP
Laptop Vaio FE 14 VWNC51427-BL,I5-1235U/8GB/512GB PCIE/14.1 FHD/WIN11/XANH/NHẬP KHẨU CHÍNH HÃNG,13990000.0,17990000.0,Intel Iris Xe Graphics,8GB,DDR4,,512 GB,14.1 inches,,55 Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5 - 1235U Gen 12 (up to 4.4 GHz, 12 MB)",1x RJ45 (Gigabit) 1x HDMI 2x USB Type-A (USB 3.1 / USB 3.2 Gen 1) 1x USB Type-A (USB 2.0) 1 x USB-C (Không xác định),,17.2,1.5,Vaio
Laptop Acer Aspire Lite 15 AL15-41P-R3U5 NX.J53SV.001,R7-5700U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,12990000.0,,AMD Radeon Graphics,16GB,DDR4 3200,2 khe (Nâng cấp tối đa 32GB),512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB),15.6 inches,Độ sáng 250 nits Độ phủ màu NTSC 45%Màn hình chống chóiAcer ComfyView,"Pin Li-ion 3 cell 58Wh, Bộ chuyển đổi 65W PD Type C",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 5700U (8 lõi / 16 luồng, 1.8 GHz - 4.3 GHz, Total Cache L2 : 4MB - Total Cache L3 : 8MB)","1x USB Type-C 3x cổng USB-A Cổng HDMI 1.4 hỗ trợ HDCP thẻ nhớ microSD lên đến 512 GB (tương thích SDXC, tương thích exFAT) Giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp",,17.9,1.6,Acer
